,inicio,final,nota,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,grupo,profesor,jornada,diferencia,delta
281,09:24:00,10:37:00,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,1:13:00,0.05069444444444444
376,09:11:00,09:53:00,2.0,0.0,0.0,0.5,0.5,0.0,0,0.0,0.5,0.0,0.5,11,Alfonso Peña Suarez,Día,0:42:00,0.02916666666666667
73,09:12:00,09:47:00,4.0,0.5,0.0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,0:35:00,0.02430555555555556
377,09:26:00,10:36:00,2.5,0.0,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,1:10:00,0.04861111111111111
394,09:26:00,10:34:00,4.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,1:08:00,0.04722222222222222
379,09:11:00,10:17:00,2.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,1:06:00,0.04583333333333333
250,09:10:00,09:47:00,4.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,0:37:00,0.02569444444444444
456,09:09:00,10:14:00,1.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,11,Alfonso Peña Suarez,Día,1:05:00,0.04513888888888889
452,09:11:00,10:22:00,4.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,1:11:00,0.04930555555555555
444,09:32:00,10:27:00,2.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,11,Alfonso Peña Suarez,Día,0:55:00,0.03819444444444445
117,09:06:00,09:39:00,5.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,0:33:00,0.02291666666666667
382,09:11:00,10:44:00,2.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,1:33:00,0.06458333333333334
385,09:10:00,10:07:00,2.0,0.5,0.0,0.5,0.0,0.0,0,0.0,0.5,0.0,0.5,11,Alfonso Peña Suarez,Día,0:57:00,0.03958333333333333
133,09:08:00,10:00:00,2.0,0.5,0.0,0.0,0.0,0.5,0,0.5,0.5,0.0,0.0,11,Alfonso Peña Suarez,Día,0:52:00,0.03611111111111111
404,09:14:00,10:22:00,2.5,0.5,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.0,11,Alfonso Peña Suarez,Día,1:08:00,0.04722222222222222
336,09:45:00,10:07:00,2.0,0.0,0.5,0.0,0.5,0.0,0,0.0,0.5,0.0,0.5,11,Alfonso Peña Suarez,Día,0:22:00,0.01527777777777778
62,09:14:00,09:47:00,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,11,Alfonso Peña Suarez,Día,0:33:00,0.02291666666666667
362,09:13:00,09:53:00,4.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,0:40:00,0.02777777777777778
82,09:13:00,09:59:00,1.0,0.5,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,11,Alfonso Peña Suarez,Día,0:46:00,0.03194444444444444
17,09:16:00,10:31:00,1.5,0.5,0.0,0.0,0.0,0.0,0,0.0,0.5,0.5,0.0,11,Alfonso Peña Suarez,Día,1:15:00,0.05208333333333334
507,09:14:00,10:39:00,3.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,1:25:00,0.05902777777777778
498,09:05:00,10:17:00,3.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,11,Alfonso Peña Suarez,Día,1:12:00,0.05
504,09:17:00,09:54:00,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,11,Alfonso Peña Suarez,Día,0:37:00,0.02569444444444444
81,09:10:00,10:07:00,1.0,0.0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.5,0.0,14,Dora Janeth Alfonso Combita,Día,0:57:00,0.03958333333333333
378,09:24:00,10:31:00,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,7,Dora Janeth Alfonso Combita,Día,1:07:00,0.04652777777777778
6,09:15:00,10:37:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,Dora Janeth Alfonso Combita,Día,1:22:00,0.05694444444444444
337,09:14:00,10:16:00,1.5,0.0,0.0,0.5,0.0,0.0,0,0.0,0.5,0.5,0.0,7,Dora Janeth Alfonso Combita,Día,1:02:00,0.04305555555555556
235,09:10:00,10:04:00,1.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,10,Dora Janeth Alfonso Combita,Día,0:54:00,0.0375
413,09:17:00,10:27:00,1.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,10,Dora Janeth Alfonso Combita,Día,1:10:00,0.04861111111111111
418,09:11:00,10:21:00,0.5,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,7,Dora Janeth Alfonso Combita,Día,1:10:00,0.04861111111111111
318,09:08:00,10:19:00,1.5,0.0,0.0,0.0,0.5,0.5,0,0.0,0.0,0.5,0.0,10,Dora Janeth Alfonso Combita,Día,1:11:00,0.04930555555555555
97,09:17:00,10:21:00,1.0,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0.0,0.0,14,Dora Janeth Alfonso Combita,Día,1:04:00,0.04444444444444445
271,09:24:00,10:03:00,1.0,0.5,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,10,Dora Janeth Alfonso Combita,Día,0:39:00,0.02708333333333333
27,09:12:00,10:07:00,1.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.5,0.5,14,Dora Janeth Alfonso Combita,Día,0:55:00,0.03819444444444445
16,09:07:00,10:20:00,5.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,7,Dora Janeth Alfonso Combita,Día,1:13:00,0.05069444444444444
11,09:04:00,09:57:00,3.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,10,Dora Janeth Alfonso Combita,Día,0:53:00,0.03680555555555556
327,09:06:00,10:10:00,1.5,0.0,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.5,10,Dora Janeth Alfonso Combita,Día,1:04:00,0.04444444444444445
246,09:13:00,10:08:00,1.0,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0.0,0.0,14,Dora Janeth Alfonso Combita,Día,0:55:00,0.03819444444444445
7,09:14:00,10:14:00,3.5,0.5,0.5,0.5,0.5,0.5,0,0.0,0.0,0.5,0.5,7,Dora Janeth Alfonso Combita,Día,1:00:00,0.04166666666666666
112,09:13:00,10:01:00,0.5,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,10,Dora Janeth Alfonso Combita,Día,0:48:00,0.03333333333333333
339,09:16:00,09:52:00,4.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10,Dora Janeth Alfonso Combita,Día,0:36:00,0.025
344,09:04:00,09:54:00,1.0,0.0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.5,0.0,10,Dora Janeth Alfonso Combita,Día,0:50:00,0.03472222222222222
284,09:13:00,10:02:00,2.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,10,Dora Janeth Alfonso Combita,Día,0:49:00,0.03402777777777777
381,09:31:00,10:12:00,2.5,0.0,0.0,0.5,0.5,0.5,0,0.0,0.5,0.0,0.5,14,Dora Janeth Alfonso Combita,Día,0:41:00,0.02847222222222222
165,09:14:00,10:53:00,2.0,0.5,0.0,0.5,0.0,0.0,0,0.5,0.0,0.0,0.5,14,Dora Janeth Alfonso Combita,Día,1:39:00,0.06875
74,09:10:00,09:59:00,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,10,Dora Janeth Alfonso Combita,Día,0:49:00,0.03402777777777777
512,09:12:00,10:15:00,1.0,0.5,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,14,Dora Janeth Alfonso Combita,Día,1:03:00,0.04375
149,09:06:00,10:14:00,2.5,0.5,0.0,0.0,0.0,0.5,0,0.0,0.5,0.5,0.5,14,Dora Janeth Alfonso Combita,Día,1:08:00,0.04722222222222222
224,09:11:00,10:25:00,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,14,Dora Janeth Alfonso Combita,Día,1:14:00,0.05138888888888889
294,09:06:00,10:18:00,3.5,0.5,0.0,0.5,0.0,0.5,0,0.5,0.5,0.5,0.5,7,Dora Janeth Alfonso Combita,Día,1:12:00,0.05
402,09:15:00,10:00:00,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,14,Dora Janeth Alfonso Combita,Día,0:45:00,0.03125
197,09:12:00,10:23:00,3.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,7,Dora Janeth Alfonso Combita,Día,1:11:00,0.04930555555555555
223,09:07:00,10:19:00,0.5,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,Dora Janeth Alfonso Combita,Día,1:12:00,0.05
368,09:14:00,10:21:00,3.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,7,Dora Janeth Alfonso Combita,Día,1:07:00,0.04652777777777778
463,09:11:00,09:49:00,1.5,0.5,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,10,Dora Janeth Alfonso Combita,Día,0:38:00,0.02638888888888889
50,09:03:00,10:21:00,1.5,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.5,0.5,7,Dora Janeth Alfonso Combita,Día,1:18:00,0.05416666666666667
